Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",-144.246600,-37.160200,180.000000,bottom
"C2","22pF","C_0603_1608Metric",-145.973800,-33.451800,90.000000,bottom
"C3","1uF","C_0603_1608Metric",-142.875000,-18.351500,-135.000000,bottom
"C4","0u1F","C_0603_1608Metric",-132.105400,-15.925800,-135.000000,bottom
"C5","0u1F","C_0603_1608Metric",-143.954500,-19.431000,45.000000,bottom
"C6","0u1F","C_0603_1608Metric",-133.043247,-34.495153,-135.000000,bottom
"C7","0u1F","C_0603_1608Metric",-145.567400,-25.323800,45.000000,bottom
"C8","0u1F","C_0603_1608Metric",-139.192000,-15.443200,90.000000,bottom
"C9","0u1F","C_0603_1608Metric",-127.063500,-20.701000,135.000000,bottom
"C10","4u7F","C_0603_1608Metric",-134.924800,-15.189200,45.000000,bottom
"C11","4n7F","C_0603_1608Metric",-154.762200,-0.279400,90.000000,bottom
"C12","0u1F","C_0603_1608Metric",-257.600000,-76.200000,-90.000000,bottom
"C13","0u1F","C_0603_1608Metric",-267.600000,-76.200000,-90.000000,bottom
"C14","0u1F","C_0603_1608Metric",-277.600000,-76.200000,-90.000000,bottom
"C15","0u1F","C_0603_1608Metric",-23.000000,-76.200000,90.000000,bottom
"C16","0u1F","C_0603_1608Metric",-13.000000,-76.200000,90.000000,bottom
"C17","0u1F","C_0603_1608Metric",-3.000000,-76.200000,90.000000,bottom
"D1","SMF6.0A","D_SOD-123",-147.023594,-5.360611,0.000000,bottom
"DU_0_0","1N4148W","D_SOD-123",4.445000,7.620000,-90.000000,bottom
"DU_0_1","1N4148W","D_SOD-123",-24.130000,7.620000,-90.000000,bottom
"DU_0_2","1N4148W","D_SOD-123",-43.815000,8.890000,0.000000,bottom
"DU_0_3","1N4148W","D_SOD-123",-62.865000,7.620000,-90.000000,bottom
"DU_0_4","1N4148W","D_SOD-123",-83.185000,5.080000,-90.000000,bottom
"DU_0_5","1N4148W","D_SOD-123",-101.600000,1.905000,-90.000000,bottom
"DU_0_6","1N4148W","D_SOD-123",-120.650000,-1.270000,-90.000000,bottom
"DU_0_7","1N4148W","D_SOD-123",-124.460000,-1.270000,-90.000000,bottom
"DU_0_8","1N4148W","D_SOD-123",-169.545000,0.000000,180.000000,bottom
"DU_0_9","1N4148W","D_SOD-123",-187.960000,3.175000,-90.000000,bottom
"DU_0_10","1N4148W","D_SOD-123",-206.375000,6.350000,-90.000000,bottom
"DU_0_11","1N4148W","D_SOD-123",-226.695000,8.255000,-90.000000,bottom
"DU_0_12","1N4148W","D_SOD-123",-248.920000,8.255000,-90.000000,bottom
"DU_0_13","1N4148W","D_SOD-123",-266.065000,8.255000,-90.000000,bottom
"DU_0_14","1N4148W","D_SOD-123",-283.210000,9.525000,0.000000,bottom
"DU_1_0","1N4148W","D_SOD-123",6.858000,-10.668000,-90.000000,bottom
"DU_1_1","1N4148W","D_SOD-123",-26.670000,-10.795000,-90.000000,bottom
"DU_1_2","1N4148W","D_SOD-123",-50.165000,-10.795000,-90.000000,bottom
"DU_1_3","1N4148W","D_SOD-123",-71.755000,-12.065000,-90.000000,bottom
