Designator,Mid X,Mid Y,Layer,Rotation
C1,163.55,16.03,TOP,0
C10,147.84,19.98,TOP,180
C11,264.78,70.91,TOP,270
C12,274.76,70.89,TOP,270
C13,284.81,70.85,TOP,270
C14,40.46,71.93,TOP,270
C15,30.45,71.9,TOP,270
C16,20.42,71.8,TOP,270
C2,149.6,27.41,TOP,180
C3,158.41,30.78,TOP,90
C4,144.79,19.98,TOP,180
C5,151.31,11.84,TOP,270
C6,159.35,12.41,TOP,270
C7,165.64,24,TOP,180
C8,165.66,18.11,TOP,0
C9,157.32,12.41,TOP,270
D0,164.11,2.41,TOP,180
DU02,69.28,71.79,TOP,90
DU03,92.89,75.22,TOP,100
DU05,132.92,86.58,TOP,100
DU08,199.51,82.26,TOP,80
DU0A,232.65,72.35,TOP,80
DU0B,256.44,71.8,TOP,90
DU10,1.05,52.74,TOP,90
DU11,45.45,57.51,TOP,90
DU12,72.62,52.83,TOP,90
DU13,93.88,56.01,TOP,100
DU14,112.58,59.38,TOP,100
DU15,131.39,62.71,TOP,100
DU16,150.08,65.99,TOP,100
DU17,175.45,63.08,TOP,80
DU18,194.16,59.78,TOP,80
DU19,213.01,56.48,TOP,80
DU1A,231.75,53.18,TOP,80
DU1B,253.13,52.76,TOP,90
DU1C,272.21,52.77,TOP,90
DU1D,298.41,52.77,TOP,90
DU1E,307.99,52.82,TOP,90
DU20,3.48,33.65,TOP,90
DU21,39.32,33.69,TOP,90
DU22,65.47,33.71,TOP,90
DU23,86.58,35.49,TOP,100
DU24,105.42,38.81,TOP,100
DU25,124.12,42.35,TOP,100
DU26,142.74,46.21,TOP,100
DU27,182.56,42.46,TOP,80
DU28,201.34,39.18,TOP,80
DU29,220.11,35.86,TOP,80
DU2A,238.86,32.64,TOP,80
DU2B,260.28,33.73,TOP,90
DU2C,279.34,33.68,TOP,90
DU2D,290.15,38.04,TOP,90
DU2E,307.1,27.94,TOP,0
DU30,5.78,14.62,TOP,90
DU31,39.33,14.65,TOP,90
DU32,63.09,14.63,TOP,90
DU33,84.24,15.76,TOP,100
DU34,103.04,19.04,TOP,100
DU35,121.87,22.29,TOP,100
DU36,140.64,25.64,TOP,100
DU37,176.38,25.86,TOP,170
DU38,195.15,23.3,TOP,80
DU39,212.99,17.82,TOP,80
DU3A,231.71,14.47,TOP,80
DU3B,253.16,13.68,TOP,90
DU3C,272.25,14.69,TOP,90
DU3D,291.29,14.7,TOP,90
DU3E,313.59,8.24,TOP,0
DU40,8.38,-4.32,TOP,90
DU41,36.92,-4.38,TOP,90
DU42,56.04,-4.36,TOP,90
DU43,74.98,-6.31,TOP,90
DU44,95.85,-1.59,TOP,100
DU45,114.6,1.68,TOP,100
DU46,133.37,5.1,TOP,100
DU47,136.03,5.52,TOP,280
DU48,182.6,3.76,TOP,80
DU49,201.39,0.46,TOP,80
DU4A,220.14,-2.89,TOP,80
DU4B,238.89,-6.09,TOP,80
DU4C,260.33,-6.29,TOP,90
DU4D,279.32,-4.38,TOP,90
DU4E,298.29,-5.69,TOP,90
R1,147.31,-1.06,TOP,180
R2,162.37,-1.17,TOP,180
R3,169.78,21.04,TOP,0
R4,155.33,11.84,TOP,90
R5,153.32,11.84,TOP,90
R6,161.44,10.89,TOP,270
R7,261.41,74.81,TOP,90
S1,196.22,16.81,TOP,350
U1,156.57,21.8,TOP,0
X1,165.67,21.05,TOP,270
LED1,267.25,76.2,BOTTOM,0
LED2,277.25,76.2,BOTTOM,0
LED3,287.25,76.2,BOTTOM,0
LED4,42,76.2,BOTTOM,0
LED5,32,76.2,BOTTOM,0
LED6,22,76.2,BOTTOM,0
